ID	ZT_0_REP_1	ZT_0_REP_2	ZT_0_REP_3	ZT_4_REP_1	ZT_4_REP_2	ZT_4_REP_3	ZT_8_REP_1	ZT_8_REP_2	ZT_8_REP_3	ZT_12_REP_1	ZT_12_REP_2	ZT_12_REP_3	ZT_16_REP_1	ZT_16_REP_2	ZT_16_REP_3	ZT_20_REP_1	ZT_20_REP_2	ZT_20_REP_3
Cebpb	2.2939	2.14257	1.32912	1.70056	1.89326	2.2514	2.13742	1.56262	1.37775	1.76982	1.87348	1.64978	1.09843	1.45956	1.45347	0.855867	1.95785	1.28868
Cebpd	0.602936	0.65433	0.627778	0.606834	0.560048	0.526379	0.523354	0.670139	0.625786	1.16633	0.916407	0.736373	0.937303	0.760723	0.852648	0.555657	0.67951	0.962006
Cebpe	0.133745	0.0430652	0.0	0.0	0.0	0.0	0.0	0.0	0.0961019	0.0125864	0.0490051	0.0	0.0	0.0	0.0	0.0	0.0	0.0800233
Cebpg	7.17523	8.16914	7.57318	7.86295	7.16908	8.43534	7.4244	8.32872	6.87185	8.35592	8.41519	8.33227	8.49814	8.41182	7.56205	7.12765	7.79473	7.3492
Cebpz	8.30012	7.6806	7.43416	7.93278	8.7505	8.58249	7.85096	7.70875	7.28178	8.22076	8.48418	7.69644	8.38805	9.46775	8.09751	7.39185	7.7282	8.0811
Cebpzos	15.1903	13.5349	13.3463	13.9103	14.4696	12.5181	15.1738	12.2681	14.92	15.3184	11.3746	8.95663	14.3912	12.2781	12.7777	11.9804	12.8583	11.7939
Cecr2	0.624885	0.775392	0.830744	0.620123	0.379407	0.656826	0.67718	0.696094	0.681725	0.502004	0.688746	0.642188	0.740479	0.605734	0.645194	0.704305	0.905973	0.695335
Cecr5	6.98434	12.7902	10.5754	7.55629	10.5955	12.0003	8.88743	7.74112	7.48424	8.70955	8.63574	8.89234	7.93555	7.25138	8.47219	9.59775	8.1198	7.61159
Cecr6	2.34197	3.60135	2.55349	2.23098	2.24927	2.33218	2.21504	1.76033	2.80469	2.38694	2.10481	5.04982	2.52278	1.98217	1.80539	2.2165	2.02907	1.92123
Cel	0.0	0.0241944	0.0	0.0111578	0.0	0.0178905	0.0	0.0	0.0134977	0.00707113	0.00917715	0.0393293	0.0346575	0.0	0.0	0.0	0.0	0.0
Cela1	2.17458	1.44983	0.887024	1.52719	1.11213	1.44365	1.54891	2.08098	1.98534	1.25675	1.19986	0.622672	0.896812	0.778802	0.700769	0.613849	1.35781	1.21692
Cela2a	0.163384	0.0420869	0.0	0.0	0.0	0.0700224	0.0	0.051611	0.0	0.0553521	0.0	0.0	0.0	0.0	0.0	0.0	0.0231238	0.0
Cela3a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cela3b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Celf1	22.3335	24.9141	23.1368	22.9451	22.0943	23.9828	23.027	22.6006	21.6862	20.6359	24.4883	27.5962	23.5822	26.0851	25.5593	21.0284	23.0042	23.4515
Celf2	16.247	16.8001	17.2915	16.3787	14.3286	13.6269	15.5378	21.1095	16.9376	12.9429	15.4198	26.2443	18.5825	17.823	16.3413	16.2542	17.6443	21.8445
Celf3	22.4039	37.6738	29.4273	23.4933	31.1734	34.3775	27.3994	31.8534	25.6712	23.4403	28.4709	36.1257	28.8282	27.1335	29.9409	27.5234	28.1336	26.6399
Celf4	116.946	115.198	111.443	115.243	92.1436	100.109	117.551	118.724	120.03	120.663	105.398	105.226	118.967	121.054	115.299	117.737	127.951	118.226
Celf5	21.4586	29.9291	31.8884	25.2579	21.6738	25.8551	26.614	25.5124	22.2024	18.6243	26.2848	36.1276	26.7169	27.489	26.9606	29.0154	29.1467	29.4409
Celf6	32.4498	33.9386	30.1814	33.8753	36.7489	39.7614	31.3114	26.6943	25.0414	30.4448	32.2268	22.2355	29.7528	40.3725	36.5774	29.9276	35.4937	27.9095
