CycID	PhaseShift	PhaseShiftHeight	PeakIndex	PeakSPD	Period	p	N	Nindependent	Nyquist	BH.Q
POFUT2	17.3188604401719	14.8957912241	55	0.404075594404355	21.4686825053996	0.999999933159512	18	15	0.132352941176471	1
POGK	67.9999554883773	11.694249602431	13	1.93059217972077	26.2269129287599	0.904716597927075	18	15	0.132352941176471	1
POGLUT1	33.8782485446763	26.7721523834416	46	1.98838767080202	22.3370786516854	0.890151033444394	18	15	0.132352941176471	1
POGZ	44.2552755230418	8.01563026267475	25	2.79065207443937	24.6650124069479	0.61333140735774	18	15	0.132352941176471	1
POLA1	40.3411642482596	0.920236963770276	48	5.9481414335632	22.1380846325167	0.0384527075821114	18	15	0.132352941176471	1
POLA2	31.2303055441242	2.11582905608911	68	1.5415339139979	20.3271983640082	0.973028632980805	18	15	0.132352941176471	1
POLB	24.2684157279857	20.1982708142933	46	3.19716948462473	22.3370786516854	0.465300816679013	18	15	0.132352941176471	1
POLD1	24.0727757060466	1.87932196460198	1	1.10352435074824	28	0.997630962288186	18	15	0.132352941176471	1
POLD2	31.3057104581433	11.4275301540509	43	1.64076790453878	22.6423690205011	0.960518806915293	18	15	0.132352941176471	1
POLD3	25.9592055240614	8.5027288999316	35	1.4458170064388	23.4988179669031	0.982208767711231	18	15	0.132352941176471	1
POLD4	29.0611536478547	16.5978738550982	53	1.85026471646391	21.6557734204793	0.923104254569312	18	15	0.132352941176471	1
POLDIP2	31.0099968781107	43.3638167648979	25	1.96245141388355	24.6650124069479	0.896822362577622	18	15	0.132352941176471	1
POLDIP3	31.0145092213341	25.5681685510477	49	1.03348979121253	22.039911308204	0.998633271013132	18	15	0.132352941176471	1
POLE	37.747771385426	0.191600804930585	72	0.649523554179314	20	0.999984604181962	18	15	0.132352941176471	1
POLE2	67.9999460159307	0.177996081578148	33	1.30040722564256	23.7231503579952	0.991523748719352	18	15	0.132352941176471	1
POLE3	33.4986671800226	21.2280296296579	16	1.71925626010438	25.8181818181818	0.948291115579357	18	15	0.132352941176471	1
POLE4	10.963523980908	14.0963189665906	30	3.81663791107489	24.0677966101695	0.283738111684157	18	15	0.132352941176471	1
POLG	24.0142135292276	8.9141181385297	48	1.41181601370094	22.1380846325167	0.984850134844637	18	15	0.132352941176471	1
POLG2	24.0675872742814	1.71784168691598	5	2.01796425008706	27.3829201101928	0.882281693136233	18	15	0.132352941176471	1
POLH	31.5699983025047	1.74600138926059	66	2.31527101393874	20.4948453608247	0.789740496094601	18	15	0.132352941176471	1
POLI	25.8895312106365	3.73238255912416	2	1.80227773841421	27.843137254902	0.933027066076206	18	15	0.132352941176471	1
POLK	40.3205802704708	2.9136494430908	19	3.99132231218776	25.4219948849105	0.244005372685279	18	15	0.132352941176471	1
POLL	29.650328006913	5.79432733838106	20	0.969841454566589	25.2926208651399	0.999214995381699	18	15	0.132352941176471	1
POLM	25.6597124666659	3.55462210248373	31	2.68061621677673	23.9518072289157	0.655176701727777	18	15	0.132352941176471	1
POLN	4.15412119647191e-05	0.135861050171233	26	4.58793197521615	24.5432098765432	0.142204678534845	18	15	0.132352941176471	1
POLQ	56.4128916882244	0.17924569735282	64	1.32972756778574	20.6652806652807	0.990038992225313	18	15	0.132352941176471	1
POLR1A	41.3062549890659	6.67049056561994	1	1.80240809494772	28	0.933001200185145	18	15	0.132352941176471	1
POLR1B	43.835297601224	4.03325020500866	1	1.00711384387984	28	0.998906501913955	18	15	0.132352941176471	1
POLR1C	5.49973454206191e-05	18.9052457719141	53	1.72834985905636	21.6557734204793	0.946736811632256	18	15	0.132352941176471	1
POLR1D	7.7582607725896e-05	49.7701633854427	46	1.98141336387693	22.3370786516854	0.891966267738476	18	15	0.132352941176471	1
POLR1E	27.0265474969948	1.70399286970859	34	1.75714730349	23.6104513064133	0.941624069159311	18	15	0.132352941176471	1
POLR2A	40.0882750783303	13.8598598584746	62	2.14046822227083	20.8385744234801	0.846896820633617	18	15	0.132352941176471	1
POLR2B	39.1024286833132	20.8055741275118	1	0.886049505256822	28	0.999655219146528	18	15	0.132352941176471	1
POLR2C	31.2128248492043	29.6908547373383	15	1.41304227985169	25.9530026109661	0.984760147468488	18	15	0.132352941176471	1
POLR2D	31.4322960026682	15.6369449910431	37	2.51162569083063	23.2786885245902	0.718960785206617	18	15	0.132352941176471	1
